Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon
top33,AdaBoost,0.9632079371641173,0.0856788158416748,50.0,0.9656883009508059,6,True
top33,Bagging,0.9464654816039686,0.022211551666259766,10.0,0.9656883009508059,6,False
top33,GBM,0.9524596940884663,0.10976958274841309,100.0,0.9656883009508059,6,False
top33,ERT,0.9458453906572964,0.10654163360595703,100.0,0.9656883009508059,6,False
top33,RandomForest,0.9609342703596528,0.13848590850830078,100.0,0.9656883009508059,6,True
top33,XGB,0.954940057875155,0.05530142784118652,,0.9656883009508059,6,False
top33,LogisticRegression,0.9640347250930136,0.010697364807128906,2.0,0.9656883009508059,6,True
top33,NaiveBayes,0.9640347250930136,0.0010023117065429688,0.0010023117065429688,0.9656883009508059,6,True
top33,MLP,0.9367507234394378,0.030684709548950195,100.0,0.9656883009508059,6,False
top33,KNN,0.9222819346837536,0.0020134449005126953,0.0020134449005126953,0.9656883009508059,6,False
top33,SVM,0.9169078131459281,0.014575958251953125,0.014575958251953125,0.9656883009508059,6,False
top33,DecisionTree,0.8458040512608516,0.0010020732879638672,13.0,0.9656883009508059,6,False
top33,LDA,0.9656883009508059,0.002010345458984375,2.0,0.9656883009508059,6,True
top33,QDA,0.9632079371641175,0.002241849899291992,0.002241849899291992,0.9656883009508059,6,True
top66,AdaBoost,0.9778834229020257,0.08053350448608398,50.0,0.9778834229020257,6,True
top66,Bagging,0.9596940884663083,0.023288488388061523,10.0,0.9778834229020257,6,False
top66,GBM,0.9603141794129806,0.11647629737854004,100.0,0.9778834229020257,6,False
top66,ERT,0.9681686647374947,0.10964417457580566,100.0,0.9778834229020257,6,True
top66,RandomForest,0.9710624224886317,0.14272260665893555,100.0,0.9778834229020257,6,True
top66,XGB,0.9574204216618437,0.05698204040527344,,0.9778834229020257,6,False
top66,LogisticRegression,0.9727159983464242,0.01616501808166504,4.0,0.9778834229020257,6,True
top66,NaiveBayes,0.9710624224886317,0.0010023117065429688,0.0010023117065429688,0.9778834229020257,6,True
top66,MLP,0.9090533278214138,0.1764063835144043,100.0,0.9778834229020257,6,False
top66,KNN,0.9367507234394377,0.0,0.0,0.9778834229020257,6,False
top66,SVM,0.9284828441504753,0.0158083438873291,0.0158083438873291,0.9778834229020257,6,False
top66,DecisionTree,0.8362959900785448,0.001003265380859375,18.0,0.9778834229020257,6,False
top66,LDA,0.9739561802397686,0.0020041465759277344,4.0,0.9778834229020257,6,True
top66,QDA,0.9623811492352212,0.0010023117065429688,0.0010023117065429688,0.9778834229020257,6,False
top100,AdaBoost,0.9727159983464242,0.10342144966125488,50.0,0.9813972715998347,5,True
top100,Bagging,0.9458453906572964,0.023839473724365234,10.0,0.9813972715998347,5,False
top100,GBM,0.9644481190574618,0.12512779235839844,100.0,0.9813972715998347,5,False
top100,ERT,0.9654816039685821,0.11503791809082031,100.0,0.9813972715998347,5,False
top100,RandomForest,0.9642414220752377,0.13829779624938965,100.0,0.9813972715998347,5,False
top100,XGB,0.9565936337329475,0.05791902542114258,,0.9813972715998347,5,False
top100,LogisticRegression,0.9776767259198016,0.062039852142333984,7.0,0.9813972715998347,5,True
top100,NaiveBayes,0.9813972715998347,0.0010025501251220703,0.0010025501251220703,0.9813972715998347,5,True
top100,MLP,0.9561802397684995,0.2103123664855957,100.0,0.9813972715998347,5,False
top100,KNN,0.9396444811905746,0.0020046234130859375,0.0020046234130859375,0.9813972715998347,5,False
top100,SVM,0.9293096320793717,0.016225814819335938,0.016225814819335938,0.9813972715998347,5,False
top100,DecisionTree,0.8532451426209178,0.00241851806640625,16.0,0.9813972715998347,5,False
top100,LDA,0.975609756097561,0.0020036697387695312,7.0,0.9813972715998347,5,True
top100,QDA,0.9735427862753204,0.002003908157348633,0.002003908157348633,0.9813972715998347,5,True
